"userId","articleId","timeSpent","date"
"65b1ebbc90ba2e3794e9696d","6666175be25f18ad60ff9360",5035781,"2024-06-10T00:00:00.000Z"
"65b1ebbc90ba2e3794e9696d","666768663588cee0f2416174",469250,"2024-06-11T00:00:00.000Z"
"660161af451e8641829f6113","6667684a3588cee0f241616b",9586,"2024-06-11T00:00:00.000Z"
"65f300509edbd593b5293db2","666768993588cee0f2416193",227096,"2024-06-11T00:00:00.000Z"
"65f300509edbd593b5293db2","666768a33588cee0f2416197",1238449,"2024-06-11T00:00:00.000Z"
"65f300509edbd593b5293db2","6667687b3588cee0f2416181",148416,"2024-06-11T00:00:00.000Z"
"65f300509edbd593b5293db2","666616cfe25f18ad60ff9336",326424,"2024-06-11T00:00:00.000Z"
"65f300509edbd593b5293db2","66661705e25f18ad60ff9346",289561,"2024-06-11T00:00:00.000Z"
"65f300509edbd593b5293db2","6666172ce25f18ad60ff9353",3960,"2024-06-11T00:00:00.000Z"
"65f300509edbd593b5293db2","6664c5679beefa3c37f3f75f",223206,"2024-06-11T00:00:00.000Z"
"66210e6094d2c53bd0b70ccc","66676c083588cee0f2416285",309600,"2024-06-11T00:00:00.000Z"
"66686e8740f98ecea9056b94","66676df53588cee0f241630c",1083350,"2024-06-11T00:00:00.000Z"
"66686e8740f98ecea9056b94","66676e163588cee0f2416314",35396,"2024-06-11T00:00:00.000Z"
"66686e8740f98ecea9056b94","66676e583588cee0f2416320",911521,"2024-06-11T00:00:00.000Z"
"661c8823ed4f8a4faf6afcd9","66661c3de25f18ad60ff948b",482200,"2024-06-11T00:00:00.000Z"
"653548118a2815874166fa66","6667684a3588cee0f241616b",71968,"2024-06-11T00:00:00.000Z"
"65fe496b205cf6d5f81e91fb","66676a103588cee0f24161f8",221473,"2024-06-12T00:00:00.000Z"
"65fe496b205cf6d5f81e91fb","66676a2a3588cee0f2416200",19837,"2024-06-12T00:00:00.000Z"
"65fe496b205cf6d5f81e91fb","66661b4de25f18ad60ff9438",3367,"2024-06-12T00:00:00.000Z"
"65fe496b205cf6d5f81e91fb","6664c9209beefa3c37f3f863",186905,"2024-06-12T00:00:00.000Z"
"65fe496b205cf6d5f81e91fb","66661b48e25f18ad60ff9434",187148,"2024-06-12T00:00:00.000Z"
"65fe496b205cf6d5f81e91fb","6664c9129beefa3c37f3f85e",234757,"2024-06-12T00:00:00.000Z"
"65fe496b205cf6d5f81e91fb","66676b103588cee0f2416241",6282,"2024-06-12T00:00:00.000Z"
"65b1ebbc90ba2e3794e9696d","6668b9fe40f98ecea90c8354",2349482,"2024-06-12T00:00:00.000Z"
"65b1ebbc90ba2e3794e9696d","6668c01440f98ecea90c853d",29667,"2024-06-12T00:00:00.000Z"
"65b1ebbc90ba2e3794e9696d","6668c00740f98ecea90c8535",13439,"2024-06-12T00:00:00.000Z"
"65f300509edbd593b5293db2","6668b9d240f98ecea90c8344",264336,"2024-06-12T00:00:00.000Z"
"65f300509edbd593b5293db2","6668b9f740f98ecea90c8350",159510,"2024-06-12T00:00:00.000Z"
"65f300509edbd593b5293db2","6668ba0340f98ecea90c8358",189420,"2024-06-12T00:00:00.000Z"
"65f300509edbd593b5293db2","6668ba3440f98ecea90c8365",166586,"2024-06-12T00:00:00.000Z"
"65f300509edbd593b5293db2","6668b9c040f98ecea90c833a",151257,"2024-06-12T00:00:00.000Z"
"65f300509edbd593b5293db2","666768863588cee0f2416189",9569,"2024-06-12T00:00:00.000Z"
"65f300509edbd593b5293db2","6667687b3588cee0f2416181",7226,"2024-06-12T00:00:00.000Z"
"65f300509edbd593b5293db2","666616e6e25f18ad60ff933e",1173368,"2024-06-12T00:00:00.000Z"
"65b1ebbc90ba2e3794e9696d","66699f85b569271700f91dc2",46991,"2024-06-12T00:00:00.000Z"
"660161af451e8641829f6113","66699f85b569271700f91dc2",22180,"2024-06-12T00:00:00.000Z"
"661c1f835b61b0397b725e76","66699f30b569271700f91da6",256278,"2024-06-12T00:00:00.000Z"
"661c1f835b61b0397b725e76","66699f25b569271700f91da1",5180,"2024-06-12T00:00:00.000Z"
"65b1ebbc90ba2e3794e9696d","66699f7cb569271700f91dbd",28642,"2024-06-13T00:00:00.000Z"
